t,E_ex,E_an,E_zee,E_tot
0.65000000,7.2758169756531657e4,2.6849272022811334e-20,-4.0976471674916625e-16,7.2758169756531657e4
0.65250000,7.3075010875826760e4,2.7094709615238133e-20,-2.4602970929488921e-15,7.3075010875826760e4
0.65500000,7.3054831658752926e4,2.6967137545893299e-20,6.6671874765564595e-16,7.3054831658752926e4
0.65750000,7.2772178022573600e4,2.6995849483528530e-20,-6.3212482346035219e-16,7.2772178022573600e4
0.66000000,7.3126680763098339e4,2.6977839019781227e-20,1.0144604908998945e-15,7.3126680763098339e4
0.66250000,7.3123222226025027e4,2.6988142971589898e-20,-9.7036918268425481e-16,7.3123222226025027e4
0.66500000,7.3241040467831423e4,2.7003558835883608e-20,-2.7193733410216385e-16,7.3241040467831423e4
0.66750000,7.2921727517318621e4,2.7089887443247352e-20,-7.3571532555203658e-16,7.2921727517318621e4
0.67000000,7.2898912888882129e4,2.6919844382702538e-20,-1.1201915512875895e-15,7.2898912888882129e4
0.67250000,7.2743080246722515e4,2.6990089749016902e-20,-7.9360649979692248e-16,7.2743080246722515e4
0.67500000,7.3120248446149111e4,2.6995080482635463e-20,-6.8455412209341478e-16,7.3120248446149111e4
0.67750000,7.2956583847916685e4,2.6907389997570777e-20,7.1426899550013907e-17,7.2956583847916685e4
0.68000000,7.3251921232216744e4,2.7057464538895766e-20,-2.5837498261865867e-16,7.3251921232216744e4
0.68250000,7.2902439284982320e4,2.6901784285434959e-20,-8.5906669427391347e-16,7.2902439284982320e4
0.68500000,7.2958383197170217e4,2.7183219190416882e-20,1.1808518347555341e-16,7.2958383197170217e4
0.68750000,7.2959941934635019e4,2.6823936941998127e-20,-2.9772786442050598e-16,7.2959941934635019e4
0.69000000,7.2762494603998901e4,2.7145761209477606e-20,6.4331857902317615e-16,7.2762494603998901e4
0.69250000,7.2814266226008433e4,2.7046706987949960e-20,-7.4029140806622808e-16,7.2814266226008433e4
0.69500000,7.3087766088334873e4,2.7002799396810012e-20,1.6943520280718870e-16,7.3087766088334873e4
0.69750000,7.3082207742474508e4,2.6973365587125785e-20,6.5157804204745741e-16,7.3082207742474508e4
0.70000000,7.2875688605671778e4,2.7132123148492109e-20,7.6656372967210513e-16,7.2875688605671778e4
0.70250000,7.2983816406767350e4,2.6904461051898791e-20,3.0575114950674498e-16,7.2983816406767350e4
0.70500000,7.3066579820424784e4,2.7103652991711677e-20,6.8723399179202652e-16,7.3066579820424784e4
0.70750000,7.3013216735509894e4,2.6986509124396752e-20,-3.7133307626557847e-16,7.3013216735509894e4
0.71000000,7.2717724897127351e4,2.7248874599341701e-20,3.0049482063288104e-17,7.2717724897127351e4
0.71250000,7.3066453662701984e4,2.6903820945970079e-20,2.7582918385761979e-16,7.3066453662701984e4
0.71500000,7.2862735534850537e4,2.7241372636782834e-20,-5.4024043575559849e-16,7.2862735534850537e4
0.71750000,7.3010485943620704e4,2.6912703344048760e-20,-5.4723810065234393e-16,7.3010485943620704e4
0.72000000,7.3031854144465469e4,2.7255827057048666e-20,2.2626723555776330e-16,7.3031854144465469e4
0.72250000,7.3160380340230011e4,2.6869838735407156e-20,-6.3525328766631896e-17,7.3160380340230011e4
0.72500000,7.2888231085845255e4,2.7181773556403186e-20,-1.1278520099991400e-15,7.2888231085845255e4
0.72750000,7.2949718658546044e4,2.6917327508274204e-20,-1.0644707816922291e-16,7.2949718658546044e4
0.73000000,7.2566042473037465e4,2.7208593346515997e-20,-1.1505603978125680e-15,7.2566042473037465e4
0.73250000,7.2613310246948342e4,2.6928883729620371e-20,5.7368529012891932e-16,7.2613310246948342e4
0.73500000,7.3215421455907781e4,2.7257043899765323e-20,-4.7240134624720299e-16,7.3215421455907781e4
0.73750000,7.2753781169564245e4,2.7035258055623922e-20,-6.3503027137083388e-17,7.2753781169564245e4
0.74000000,7.2795406287547172e4,2.7084933766580155e-20,-1.2725295728071371e-15,7.2795406287547172e4
0.74250000,7.2991920222918474e4,2.7205864843881045e-20,1.2316567702200178e-15,7.2991920222918474e4
0.74500000,7.2885126355274100e4,2.7037419865942198e-20,-1.8285010547995377e-15,7.2885126355274100e4
0.74750000,7.3055281248754400e4,2.7001232010464074e-20,-1.0645360046562165e-16,7.3055281248754400e4
0.75000000,7.2552059538086542e4,2.7281421541760720e-20,-6.6226896188581193e-16,7.2552059538086542e4
0.75250000,7.2729335249378390e4,2.6982111534030040e-20,1.5920198709299359e-16,7.2729335249378390e4
0.75500000,7.2858480029581435e4,2.7449794165118165e-20,-4.7283193722894284e-16,7.2858480029581435e4
0.75750000,7.3195858225117961e4,2.6818455536812934e-20,-8.3792822806242155e-16,7.3195858225117961e4
0.76000000,7.2880168443786926e4,2.7285082268912973e-20,-3.4379269965473212e-16,7.2880168443786926e4
