t,mx_avg,my_avg,mz_avg
1.06500000,0.00066199,0.00449515,0.00017095
1.06750000,0.00173994,-0.00327745,0.00267962
1.07000000,0.00278885,0.00232676,-0.00131639
1.07250000,-0.00032218,-0.00433707,-0.00001921
1.07500000,0.00191334,0.00453931,-0.00017184
1.07750000,0.00102581,-0.00226123,0.00250525
1.08000000,0.00094716,0.00120550,-0.00308149
1.08250000,0.00136225,-0.00086669,0.00077281
1.08500000,0.00033372,0.00084371,-0.00017805
1.08750000,-0.00041515,0.00106101,-0.00044414
1.09000000,-0.00233054,-0.00384205,-0.00227496
1.09250000,-0.00271292,0.00166529,0.00056630
1.09500000,0.00051360,-0.00055360,-0.00142953
1.09750000,0.00192196,0.00265078,-0.00036705
1.10000000,0.00008614,-0.00058225,-0.00028990
1.10250000,0.00521484,-0.00138267,-0.00025333
1.10500000,0.00140070,0.00214692,0.00079381
1.10750000,0.00067364,0.00113594,0.00143118
1.11000000,0.00174918,-0.00167362,-0.00025999
1.11250000,0.00002521,0.00161671,0.00089565
1.11500000,0.00100538,-0.00117651,0.00050607
1.11750000,-0.00044242,0.00011158,0.00165539
1.12000000,0.00107255,-0.00435426,0.00376040
1.12250000,-0.00046391,0.00009861,-0.00151969
1.12500000,0.00293256,0.00065638,0.00367040
1.12750000,0.00265136,0.00234768,0.00604160
1.13000000,-0.00039465,-0.00070205,-0.00256613
1.13250000,0.00059126,0.00161268,0.00109368
1.13500000,0.00260879,0.00091916,-0.00153298
1.13750000,-0.00013115,-0.00103339,0.00202267
1.14000000,-0.00066444,0.00037139,-0.00252392
1.14250000,0.00174704,-0.00041043,-0.00174570
1.14500000,0.00323936,0.00237842,-0.00252932
1.14750000,0.00159801,0.00347467,-0.00166250
1.15000000,-0.00257278,-0.00348774,0.00230382
1.15250000,0.00307868,-0.00280374,-0.00078513
1.15500000,0.00259930,-0.00037371,-0.00011263
1.15750000,0.00353410,0.00463778,-0.00031576
1.16000000,-0.00075319,0.00061469,0.00054127
1.16250000,0.00270764,-0.00077398,-0.00021919
1.16500000,-0.00165502,-0.00364696,0.00496422
1.16750000,0.00180898,-0.00040435,-0.00036803
1.17000000,-0.00020219,-0.00203178,0.00014745
1.17250000,-0.00029863,0.00022905,-0.00123228
1.17500000,0.00278124,-0.00238941,0.00004357
1.17750000,0.00153345,-0.00023888,0.00103496
1.18000000,-0.00212874,0.00608324,-0.00088565
1.18250000,0.00491982,-0.00253808,0.00021485
1.18500000,0.00086988,0.00013700,-0.00129327
1.18750000,-0.00025527,0.00197226,-0.00096895
1.19000000,-0.00037200,0.00151819,-0.00031223
1.19250000,0.00116799,-0.00150465,0.00074369
1.19500000,-0.00351229,-0.00035567,0.00103174
1.19750000,0.00234010,0.00023320,-0.00003627
1.20000000,-0.00066525,-0.00039350,-0.00259193
1.20250000,-0.00303626,-0.00236546,-0.00255300
1.20500000,-0.00157696,-0.00056514,0.00199876
1.20750000,-0.00152442,-0.00257991,-0.00201569
1.21000000,0.00310745,0.00262806,0.00000416
1.21250000,0.00333178,0.00004870,-0.00609621
1.21500000,0.00169672,-0.00333719,0.00217191
1.21750000,0.00101531,0.00368987,0.00079173
1.22000000,0.00348265,-0.00318224,-0.00266143
1.22250000,0.00273544,-0.00105573,-0.00119790
1.22500000,-0.00088746,-0.00077058,-0.00300646
1.22750000,0.00132893,0.00005336,-0.00003735
1.23000000,0.00321183,0.00201182,0.00095311
1.23250000,-0.00181334,-0.00133285,-0.00119909
1.23500000,0.00416149,0.00013376,-0.00059251
1.23750000,0.00092423,0.00290277,0.00016391
1.24000000,-0.00037767,0.00244614,0.00026732
1.24250000,0.00759128,0.00100769,0.00075740
1.24500000,0.00051457,0.00084488,0.00011395
1.24750000,-0.00059611,-0.00114365,-0.00077595
1.25000000,0.00214438,0.00026746,-0.00246736
